"STATION","NAME","DATE","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-01-01","0.68","0.0","35","39","27"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-01-02","0.04","0.0","42","53","34"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-01-03","0.23","0.2","36","38","32"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-01-04","0.02","0.0","38","46","34"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-01-05","0.00","0.0","39","42","36"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-01-06","0.00","0.0","38","43","32"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-01-07","0.00","0.0","36","44","31"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-01-08","0.00","0.0","32","39","26"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-01-09","0.00","0.0","31","39","23"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-01-10","0.00","0.0","35","44","27"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-01-11","0.00","0.0","31","38","25"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-01-12","0.00","0.0","35","46","25"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-01-13","0.00","0.0","37","45","31"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-01-14","0.00","0.0","40","50","33"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-01-15","0.61","0.0","40","47","32"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-01-16","0.62","0.0","45","48","37"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-01-17","0.00","0.0","39","44","34"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-01-18","0.00","0.0","40","47","32"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-01-19","0.00","0.0","37","43","31"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-01-20","0.01","0.3","35","41","27"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-01-21","0.00","0.0","32","43","22"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-01-22","0.00","0.0","38","48","30"
