STATION,NAME,DATE,PRCP,TMAX,TMIN
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-01-01,0.81,55,49
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-01-02,0.04,59,36
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-01-03,0,36,22
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-01-04,0,35,18
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-01-05,0.14,46,25
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-01-06,0,38,31
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-01-07,0.27,33,23
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-01-08,0,31,19
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-01-09,0.08,38,22
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-01-10,0,38,22
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-01-11,0,23,15
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-01-12,0,40,17
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-01-13,0,47,27
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-01-14,0,44,21
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-01-15,0,21,10
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-01-16,0.54,39,6
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-01-17,1.3,44,33
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-01-18,0,38,25
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-01-19,0,49,24
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-01-20,0.25,42,19
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-01-21,0,23,13
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-01-22,0,30,10
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-01-23,0.01,37,16
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-01-24,0,33,25
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-01-25,0,42,26
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-01-26,0,28,16
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-01-27,0,32,11
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-01-28,0.1,32,26
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-01-29,0.52,27,10
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-01-30,0,24,10
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-01-31,0,30,11
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-02-01,0,35,13
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-02-02,0,44,24
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-02-03,0.43,48,36
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-02-04,0.54,55,27
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-02-05,0,28,17
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-02-06,0,29,14
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-02-07,0.11,37,27
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-02-08,0.05,46,30
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-02-09,0,45,25
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-02-10,0,55,32
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-02-11,0,60,32
